ImageID         , DiademScore, SourceImage, FilterType, SigMin, SigMax, SigStep, NeuronThreshold, PruningThreshold, SmoothingFactor, NumPointsPerBranch
OP_1            , 0.868      , OP_1       , frangi    ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_2            , 0.678      , OP_2       , frangi    ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_3            , 0.775      , OP_3       , frangi    ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_4            , 0.516      , OP_4       , frangi    ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_5            , 0          , OP_5       , frangi    ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_6            , 0.706      , OP_6       , frangi    ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_7            , 0.708      , OP_7       , frangi    ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_8            , 0.827      , OP_8       , frangi    ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_9            , 0.687      , OP_9       , frangi    ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
Total Sum: 5.765, Mean: 0.640
OP_1            , 0.86       , OP_1       , yang      ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_2            , 0.709      , OP_2       , yang      ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_3            , 0.764      , OP_3       , yang      ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_4            , 0.511      , OP_4       , yang      ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_5            , 0.571      , OP_5       , yang      ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_6            , 0.697      , OP_6       , yang      ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_7            , 0.89       , OP_7       , yang      ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_8            , 0.597      , OP_8       , yang      ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
OP_9            , 0.657      , OP_9       , yang      ,    1.0,    2.0,     0.5,            0.05,                0,             0.8,                 15
Total Sum: 6.256, Mean: 0.695
